City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Santo Antonio Do Monte,BR,2020-10-21 19:33:49,-20.09,-45.29,77.05,64,9,3.33
223,Hattiesburg,US,2020-10-21 19:32:15,31.33,-89.29,82.4,58,20,4.7
224,Bonavista,CA,2020-10-21 19:33:50,48.65,-53.11,43.07,84,47,16.37
225,Punta Cardon,VE,2020-10-21 19:33:51,11.66,-70.22,87.51,64,1,8.08
226,Constantine,DZ,2020-10-21 19:33:07,36.37,6.61,64.4,32,0,3.36
227,Cartagena Del Chaira,CO,2020-10-21 19:33:52,1.33,-74.84,79.57,92,88,4.59
228,Kalabo,ZM,2020-10-21 19:33:52,-14.97,22.68,77.52,19,7,2.48
229,Vila Do Maio,CV,2020-10-21 19:33:52,15.13,-23.22,81.79,78,0,14.29
230,Mwandiga,TZ,2020-10-21 19:33:53,-4.83,29.66,75.2,88,40,6.67
231,Formosa,AR,2020-10-21 19:33:53,-26.18,-58.18,102.2,31,40,8.05
232,Bria,CF,2020-10-21 19:33:54,6.54,21.99,70.14,93,55,1.68
233,Paracuru,BR,2020-10-21 19:33:54,-3.41,-39.03,80.01,77,100,14.0
234,Carver,US,2020-10-21 19:33:55,44.8,-93.78,35.01,72,100,3.0
235,Dhidhdhoo,MV,2020-10-21 19:29:11,6.88,73.1,81.72,78,100,9.91
236,Chyhyryn,UA,2020-10-21 19:33:55,49.08,32.66,52.21,68,100,11.9
237,Tucuman,AR,2020-10-21 19:33:56,-26.82,-65.22,68.0,77,90,4.7
238,Gamba,GA,2020-10-21 19:33:56,-2.65,10.0,76.87,88,100,7.29
239,Lagos,NG,2020-10-21 19:32:20,6.58,3.75,82.4,78,20,5.82
240,Maunabo,PR,2020-10-21 19:33:57,18.01,-65.9,87.01,77,26,4.0
241,Mortka,RU,2020-10-21 19:33:58,59.33,66.02,26.64,99,13,4.5
242,Kissidougou,GN,2020-10-21 19:33:58,9.18,-10.1,71.65,88,49,0.6
243,Moroni,KM,2020-10-21 19:33:59,-11.7,43.26,79.12,70,1,7.47
244,Basoko,CD,2020-10-21 19:33:51,1.24,23.62,72.59,91,93,3.42
245,Kolyvan,RU,2020-10-21 19:33:59,55.31,82.74,42.8,56,100,8.95
246,Veracruz,MX,2020-10-21 19:30:10,19.33,-96.67,88.0,62,20,8.05
247,Martinsicuro,IT,2020-10-21 19:34:00,42.88,13.91,53.01,83,0,3.96
