City_ID,City,Country,Max_Temp,Weather_Description,Lat,Lng,Hotel Name
1119,ponta delgada,PT,60.8,broken clouds,37.73,-25.67,Vila Nova Hotel
1120,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1122,hasaki,JP,69.8,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
1123,pachino,IT,55.99,clear sky,36.72,15.09,Il Veliero
1124,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1125,lompoc,US,60.8,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
1126,punta arenas,CL,42.8,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
1128,port alfred,ZA,68.09,overcast clouds,-33.59,26.89,The Halyards Hotel
1131,tromso,NO,28.4,broken clouds,69.65,18.96,"Radisson Blu Hotel, Tromsø"
1132,albany,US,57.99,overcast clouds,42.6,-73.97,
1133,nerja,ES,59.0,clear sky,36.76,-3.89,Toboso apar-turis
1135,lashio,MM,64.58,light rain,22.93,97.75,Hotel CF Lashio - Burmese Only
1137,warrnambool,AU,62.01,overcast clouds,-38.38,142.48,Lady Bay Resort
1139,canar,EC,59.0,light rain,-2.55,-78.93,Hostería La Condesa
1141,port lincoln,AU,61.25,overcast clouds,-34.73,135.87,Port Lincoln Hotel
1142,baley,RU,36.0,clear sky,51.6,116.63,Barak-5
1146,thompson,CA,26.6,light snow,55.74,-97.86,Burntwood Hotel
1147,nikolskoye,RU,50.0,overcast clouds,59.7,30.79,Tourist House - Sablino
1150,hobart,AU,68.0,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
1151,kushiro,JP,57.2,mist,42.98,144.37,東横INN釧路十字街
1152,east london,ZA,67.42,broken clouds,-33.02,27.91,Tu Casa
1154,aleksandrov gay,RU,42.96,light rain,50.15,48.57,Gostinitsa I.p. Yes'kov A.v
1158,barrow,US,33.8,mist,71.29,-156.79,King Eider Inn
1159,barrow,US,33.8,mist,71.29,-156.79,King Eider Inn
1162,torbay,CA,46.99,few clouds,47.67,-52.73,Gallows Cove
1163,vila franca do campo,PT,60.8,broken clouds,37.72,-25.43,Pestana Bahia Praia
1165,tasiilaq,GL,37.4,overcast clouds,65.61,-37.64,The Red House
1168,nome,US,41.0,clear sky,64.5,-165.41,Dredge 7 Inn
1170,tuktoyaktuk,CA,26.6,light snow,69.45,-133.04,End of The Road Ltd.
1173,guerrero negro,MX,66.85,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
1174,kuryk,KZ,49.78,few clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
1175,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1176,castro,BR,60.66,broken clouds,-24.79,-50.01,CHACARA BAILLY
1177,ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
1178,huarmey,PE,62.96,broken clouds,-10.07,-78.15,Hotel Miramar
1181,ribeira grande,PT,64.6,few clouds,38.52,-28.7,Quinta da Meia Eira
1182,gelibolu,TR,53.6,clear sky,40.41,26.67,Oya Hotel
1183,ponta do sol,PT,64.4,few clouds,32.67,-17.1,Hotel do Campo
1186,bondo,CD,68.11,overcast clouds,3.81,23.69,
1188,bredasdorp,ZA,64.4,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
1190,jamestown,US,60.8,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
